# Mimaki 3DUJ-safe color manifest
# ICC profile     : C:\Windows\System32\spool\drivers\color\CoatedFOGRA39.icc
# deltaE threshold: 0.75
# Safe chromatic  : 188
# K-ramp added    : 7
# Total swatches  : 195
# Sorted by hue.
# Columns: NAME | #HEX | RGB | CMYK% | dE
#--------------------------------------------------------------------------------------------
soft-dusty-magenta-02      | #D290B3 | RGB(210,144,179) | CMYK( 18, 54, 10,  0)% | dE=0.66
soft-dusty-magenta-03      | #F3AED2 | RGB(243,174,210) | CMYK(  2, 43,  0,  0)% | dE=0.67
mid-vivid-magenta          | #B83185 | RGB(184, 49,133) | CMYK( 30, 95,  3,  0)% | dE=0.28
mid-fair-magenta-03        | #A6477E | RGB(166, 71,126) | CMYK( 38, 85, 19,  5)% | dE=0.67
k-100                      | #000000 | RGB(  0,  0,  0) | CMYK( 91, 79, 62, 98)% | dE=6.43
k-083                      | #2A2A2A | RGB( 42, 42, 42) | CMYK( 74, 67, 61, 83)% | dE=1.01
k-067                      | #555555 | RGB( 85, 85, 85) | CMYK( 60, 52, 50, 46)% | dE=1.49
medium-gray                | #696969 | RGB(105,105,105) | CMYK( 55, 46, 45, 34)% | dE=0.00
k-050                      | #808080 | RGB(128,128,128) | CMYK( 49, 40, 40, 22)% | dE=0.00
k-033                      | #AAAAAA | RGB(170,170,170) | CMYK( 35, 28, 29,  7)% | dE=1.45
k-017                      | #D4D4D4 | RGB(212,212,212) | CMYK( 19, 15, 16,  0)% | dE=1.45
k-000                      | #FFFFFF | RGB(255,255,255) | CMYK(  0,  0,  0,  0)% | dE=0.00
